14:16:45.615 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.apiserver.ApiServices - DAML LF Engine supports LF versions: 0, 0.dev, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.dev; Transaction versions: 1, 2, 3, 4, 5, 6, 7, 8, 9; Value versions: 1, 2, 3, 4, 5, 6, 7 (context: {participantId=sandbox-participant}) 
14:16:46.017 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.apiserver.LedgerApiServer - Listening on localhost:6865 over plain text. (context: {participantId=sandbox-participant}) 
14:16:46.035 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.platform.sandbox.SandboxServer - Initialized sandbox version 100.13.54 with ledger-id = daml-ui-tempalte, port = 6865, dar file = List(.daml/dist/daml-ui-template-0.0.1.dar), time mode = wall-clock time, ledger = in-memory, auth-service = AuthServiceWildcard$ 
14:17:59.748 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Alice) (context: {participantId=sandbox-participant}) 
14:18:01.249 [sandbox-akka.actor.default-dispatcher-5] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(Script Runner,Bob) (context: {participantId=sandbox-participant}) 
14:24:43.598 [sandbox-akka.actor.default-dispatcher-6] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(653a7958-678a-42a6-95ac-78c8c1663810,Alice) (context: {participantId=sandbox-participant}) 
14:25:06.424 [sandbox-akka.actor.default-dispatcher-6] ERROR c.d.p.a.s.ApiSubmissionService - Submission of command has failed. (context: {participantId=sandbox-participant, commandId=6fe5b506-9a57-45c2-86a7-5fe016a0d425, parties=[Alice]}) 
com.digitalasset.platform.server.api.ApiException: INVALID_ARGUMENT: Command interpretation error in LF-DAMLe: The following errors occured: node NodeId(0) (Identifier(c3c51521dc3419d9eb9f7521e908f921000ddae45f202248d284e224daa2291e,Main:Asset)) requires authorizers Bob, but only Alice were given. Details: N/A.
14:25:16.071 [sandbox-akka.actor.default-dispatcher-8] INFO  c.d.p.a.services.tracking.TrackerMap - Registered tracker for submitter Key(f40680b9-bf98-48ab-af22-2981a0f79cb6,Bob) (context: {participantId=sandbox-participant}) 
15:52:25.220 [sandbox-akka.actor.default-dispatcher-9] ERROR c.d.p.a.s.ApiSubmissionService - Submission of command has failed. (context: {participantId=sandbox-participant, commandId=b7afeae5-d13b-4dad-8590-95dd8d246de7, parties=[Bob]}) 
com.digitalasset.platform.server.api.ApiException: INVALID_ARGUMENT: Command interpretation error in LF-DAMLe: The following errors occured: node NodeId(0) (Identifier(c3c51521dc3419d9eb9f7521e908f921000ddae45f202248d284e224daa2291e,Main:Asset)) requires authorizers Alice, but only Bob were given. Details: N/A.
14:55:39.394 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.a.services.ApiCommandService - Shutting down Command Service (context: {participantId=sandbox-participant}) 
14:55:39.396 [sandbox-akka.actor.default-dispatcher-7] INFO  c.d.p.a.services.tracking.TrackerMap - Shutting down 4 trackers (context: {participantId=sandbox-participant}) 
14:55:39.467 [sandbox-akka.actor.default-dispatcher-7] WARN  akka.actor.CoordinatedShutdown - Could not addJvmShutdownHook, due to: Shutdown in progress akkaAddress=akka://sandbox, sourceThread=pool-1-thread-6, akkaSource=CoordinatedShutdown(akka://sandbox), sourceActorSystem=sandbox, akkaTimestamp=13:55:39.463UTC
